Date/Time,Active Energy (kJ),Source
2031-04-02T07:30:00Z,33.97,Synth Watch X1
2031-04-02T07:31:00Z,26.48,Synth Watch X1
2031-04-02T07:32:00Z,39.08,Synth Watch X1
2031-04-02T07:33:00Z,34.91,Synth Watch X1
2031-04-02T07:34:00Z,33.34,Synth Watch X1
2031-04-02T07:35:00Z,35.43,Synth Watch X1
2031-04-02T07:36:00Z,39.94,Synth Watch X1
2031-04-02T07:37:00Z,30.94,Synth Watch X1
2031-04-02T07:38:00Z,29.15,Synth Watch X1
2031-04-02T07:39:00Z,34.02,Synth Watch X1
2031-04-02T07:40:00Z,32.76,Synth Watch X1
2031-04-02T07:41:00Z,30.44,Synth Watch X1
2031-04-02T07:42:00Z,31.24,Synth Watch X1
2031-04-02T07:43:00Z,25.08,Synth Watch X1
2031-04-02T07:44:00Z,28.06,Synth Watch X1
2031-04-02T07:45:00Z,28.84,Synth Watch X1
2031-04-02T07:46:00Z,39.3,Synth Watch X1
2031-04-02T07:47:00Z,27.04,Synth Watch X1
2031-04-02T07:48:00Z,26.25,Synth Watch X1
2031-04-02T07:49:00Z,26.05,Synth Watch X1
2031-04-02T07:50:00Z,27.53,Synth Watch X1
2031-04-02T07:51:00Z,36.95,Synth Watch X1
2031-04-02T07:52:00Z,31.56,Synth Watch X1
2031-04-02T07:53:00Z,32.59,Synth Watch X1
2031-04-02T07:54:00Z,28.97,Synth Watch X1
2031-04-02T07:55:00Z,35.9,Synth Watch X1
2031-04-02T07:56:00Z,39.78,Synth Watch X1
2031-04-02T07:57:00Z,29.41,Synth Watch X1
2031-04-02T07:58:00Z,29.58,Synth Watch X1
2031-04-02T07:59:00Z,34.04,Synth Watch X1
2031-04-02T08:00:00Z,31.44,Synth Watch X1
2031-04-02T08:01:00Z,37.43,Synth Watch X1
2031-04-02T08:02:00Z,39.98,Synth Watch X1
2031-04-02T08:03:00Z,35.58,Synth Watch X1
2031-04-02T08:04:00Z,28.55,Synth Watch X1
2031-04-02T08:05:00Z,34.39,Synth Watch X1
2031-04-02T08:06:00Z,39.06,Synth Watch X1
2031-04-02T08:07:00Z,36.95,Synth Watch X1
2031-04-02T08:08:00Z,34.21,Synth Watch X1
2031-04-02T08:09:00Z,39.54,Synth Watch X1
2031-04-02T08:10:00Z,32.48,Synth Watch X1
