Date/Time,Cadence (rpm),Source
2031-04-02T07:30:00Z,71,Synth Watch X1
2031-04-02T07:31:00Z,78,Synth Watch X1
2031-04-02T07:32:00Z,80,Synth Watch X1
2031-04-02T07:33:00Z,77,Synth Watch X1
2031-04-02T07:34:00Z,78,Synth Watch X1
2031-04-02T07:35:00Z,84,Synth Watch X1
2031-04-02T07:36:00Z,82,Synth Watch X1
2031-04-02T07:37:00Z,81,Synth Watch X1
2031-04-02T07:38:00Z,82,Synth Watch X1
2031-04-02T07:39:00Z,84,Synth Watch X1
2031-04-02T07:40:00Z,89,Synth Watch X1
2031-04-02T07:41:00Z,87,Synth Watch X1
2031-04-02T07:42:00Z,87,Synth Watch X1
2031-04-02T07:43:00Z,84,Synth Watch X1
2031-04-02T07:44:00Z,84,Synth Watch X1
2031-04-02T07:45:00Z,84,Synth Watch X1
2031-04-02T07:46:00Z,81,Synth Watch X1
2031-04-02T07:47:00Z,77,Synth Watch X1
2031-04-02T07:48:00Z,74,Synth Watch X1
2031-04-02T07:49:00Z,79,Synth Watch X1
2031-04-02T07:50:00Z,71,Synth Watch X1
2031-04-02T07:51:00Z,69,Synth Watch X1
2031-04-02T07:52:00Z,72,Synth Watch X1
2031-04-02T07:53:00Z,68,Synth Watch X1
2031-04-02T07:54:00Z,66,Synth Watch X1
2031-04-02T07:55:00Z,64,Synth Watch X1
2031-04-02T07:56:00Z,65,Synth Watch X1
2031-04-02T07:57:00Z,60,Synth Watch X1
2031-04-02T07:58:00Z,56,Synth Watch X1
2031-04-02T07:59:00Z,62,Synth Watch X1
2031-04-02T08:00:00Z,56,Synth Watch X1
2031-04-02T08:01:00Z,55,Synth Watch X1
2031-04-02T08:02:00Z,57,Synth Watch X1
2031-04-02T08:03:00Z,62,Synth Watch X1
2031-04-02T08:04:00Z,55,Synth Watch X1
2031-04-02T08:05:00Z,62,Synth Watch X1
2031-04-02T08:06:00Z,64,Synth Watch X1
2031-04-02T08:07:00Z,63,Synth Watch X1
2031-04-02T08:08:00Z,61,Synth Watch X1
2031-04-02T08:09:00Z,69,Synth Watch X1
2031-04-02T08:10:00Z,71,Synth Watch X1
