Date/Time,Distance (km),Source
2031-04-08T07:32:00Z,0.503,Synth Watch X1
2031-04-08T07:33:00Z,0.489,Synth Watch X1
2031-04-08T07:34:00Z,0.518,Synth Watch X1
2031-04-08T07:35:00Z,0.307,Synth Watch X1
2031-04-08T07:36:00Z,0.338,Synth Watch X1
2031-04-08T07:37:00Z,0.3,Synth Watch X1
2031-04-08T07:38:00Z,0.485,Synth Watch X1
2031-04-08T07:39:00Z,0.422,Synth Watch X1
2031-04-08T07:40:00Z,0.525,Synth Watch X1
2031-04-08T07:41:00Z,0.491,Synth Watch X1
2031-04-08T07:42:00Z,0.458,Synth Watch X1
2031-04-08T07:43:00Z,0.536,Synth Watch X1
2031-04-08T07:44:00Z,0.481,Synth Watch X1
2031-04-08T07:45:00Z,0.475,Synth Watch X1
2031-04-08T07:46:00Z,0.541,Synth Watch X1
2031-04-08T07:47:00Z,0.415,Synth Watch X1
2031-04-08T07:48:00Z,0.538,Synth Watch X1
2031-04-08T07:49:00Z,0.466,Synth Watch X1
2031-04-08T07:50:00Z,0.443,Synth Watch X1
2031-04-08T07:51:00Z,0.506,Synth Watch X1
2031-04-08T07:52:00Z,0.406,Synth Watch X1
2031-04-08T07:53:00Z,0.519,Synth Watch X1
2031-04-08T07:54:00Z,0.521,Synth Watch X1
2031-04-08T07:55:00Z,0.455,Synth Watch X1
2031-04-08T07:56:00Z,0.405,Synth Watch X1
2031-04-08T07:57:00Z,0.329,Synth Watch X1
2031-04-08T07:58:00Z,0.468,Synth Watch X1
2031-04-08T07:59:00Z,0.323,Synth Watch X1
2031-04-08T08:00:00Z,0.456,Synth Watch X1
2031-04-08T08:01:00Z,0.508,Synth Watch X1
2031-04-08T08:02:00Z,0.417,Synth Watch X1
2031-04-08T08:03:00Z,0.428,Synth Watch X1
2031-04-08T08:04:00Z,0.375,Synth Watch X1
2031-04-08T08:05:00Z,0.36,Synth Watch X1
2031-04-08T08:06:00Z,0.521,Synth Watch X1
2031-04-08T08:07:00Z,0.52,Synth Watch X1
2031-04-08T08:08:00Z,0.423,Synth Watch X1
2031-04-08T08:09:00Z,0.469,Synth Watch X1
2031-04-08T08:10:00Z,0.332,Synth Watch X1
2031-04-08T08:11:00Z,0.374,Synth Watch X1
2031-04-08T08:12:00Z,0.332,Synth Watch X1
2031-04-08T08:13:00Z,0.329,Synth Watch X1
2031-04-08T08:14:00Z,0.372,Synth Watch X1
2031-04-08T08:15:00Z,0.339,Synth Watch X1
2031-04-08T08:16:00Z,0.48,Synth Watch X1
2031-04-08T08:17:00Z,0.473,Synth Watch X1
2031-04-08T08:18:00Z,0.446,Synth Watch X1
2031-04-08T08:19:00Z,0.467,Synth Watch X1
2031-04-08T08:20:00Z,0.488,Synth Watch X1
2031-04-08T08:21:00Z,0.358,Synth Watch X1
2031-04-08T08:22:00Z,0.338,Synth Watch X1
2031-04-08T08:23:00Z,0.322,Synth Watch X1
2031-04-08T08:24:00Z,0.35,Synth Watch X1
2031-04-08T08:25:00Z,0.513,Synth Watch X1
2031-04-08T08:26:00Z,0.497,Synth Watch X1
2031-04-08T08:27:00Z,0.512,Synth Watch X1
2031-04-08T08:28:00Z,0.461,Synth Watch X1
2031-04-08T08:29:00Z,0.525,Synth Watch X1
2031-04-08T08:30:00Z,0.431,Synth Watch X1
2031-04-08T08:31:00Z,0.52,Synth Watch X1
2031-04-08T08:32:00Z,0.341,Synth Watch X1
2031-04-08T08:33:00Z,0.479,Synth Watch X1
2031-04-08T08:34:00Z,0.394,Synth Watch X1
2031-04-08T08:35:00Z,0.335,Synth Watch X1
2031-04-08T08:36:00Z,0.484,Synth Watch X1
2031-04-08T08:37:00Z,0.482,Synth Watch X1
2031-04-08T08:38:00Z,0.333,Synth Watch X1
2031-04-08T08:39:00Z,0.336,Synth Watch X1
2031-04-08T08:40:00Z,0.471,Synth Watch X1
2031-04-08T08:41:00Z,0.327,Synth Watch X1
2031-04-08T08:42:00Z,0.46,Synth Watch X1
