Date/Time,Min (bpm),Max (bpm),Avg (bpm),Context,Source
2031-04-02T07:30:00Z,115,123,118,workout,Synth Watch X1
2031-04-02T07:31:00Z,118,130,122,workout,Synth Watch X1
2031-04-02T07:32:00Z,116,128,120,workout,Synth Watch X1
2031-04-02T07:33:00Z,119,126,122,workout,Synth Watch X1
2031-04-02T07:34:00Z,129,139,132,workout,Synth Watch X1
2031-04-02T07:35:00Z,122,131,127,workout,Synth Watch X1
2031-04-02T07:36:00Z,127,135,130,workout,Synth Watch X1
2031-04-02T07:37:00Z,129,139,133,workout,Synth Watch X1
2031-04-02T07:38:00Z,134,145,140,workout,Synth Watch X1
2031-04-02T07:39:00Z,135,140,138,workout,Synth Watch X1
2031-04-02T07:40:00Z,140,148,144,workout,Synth Watch X1
2031-04-02T07:41:00Z,136,145,140,workout,Synth Watch X1
2031-04-02T07:42:00Z,140,152,145,workout,Synth Watch X1
2031-04-02T07:43:00Z,146,154,150,workout,Synth Watch X1
2031-04-02T07:44:00Z,146,158,151,workout,Synth Watch X1
2031-04-02T07:45:00Z,147,158,153,workout,Synth Watch X1
2031-04-02T07:46:00Z,149,158,153,workout,Synth Watch X1
2031-04-02T07:47:00Z,148,158,152,workout,Synth Watch X1
2031-04-02T07:48:00Z,146,153,150,workout,Synth Watch X1
2031-04-02T07:49:00Z,151,162,155,workout,Synth Watch X1
2031-04-02T07:50:00Z,148,155,152,workout,Synth Watch X1
2031-04-02T07:51:00Z,146,158,151,workout,Synth Watch X1
2031-04-02T07:52:00Z,153,157,155,workout,Synth Watch X1
2031-04-02T07:53:00Z,150,159,152,workout,Synth Watch X1
2031-04-02T07:54:00Z,143,154,147,workout,Synth Watch X1
2031-04-02T07:55:00Z,143,150,148,workout,Synth Watch X1
2031-04-02T07:56:00Z,148,154,151,workout,Synth Watch X1
2031-04-02T07:57:00Z,141,150,147,workout,Synth Watch X1
2031-04-02T07:58:00Z,143,153,148,workout,Synth Watch X1
2031-04-02T07:59:00Z,142,152,145,workout,Synth Watch X1
2031-04-02T08:00:00Z,136,145,139,workout,Synth Watch X1
2031-04-02T08:01:00Z,137,146,141,workout,Synth Watch X1
2031-04-02T08:02:00Z,134,141,137,workout,Synth Watch X1
2031-04-02T08:03:00Z,130,137,132,workout,Synth Watch X1
2031-04-02T08:04:00Z,127,137,131,workout,Synth Watch X1
2031-04-02T08:05:00Z,124,132,128,workout,Synth Watch X1
2031-04-02T08:06:00Z,124,134,127,workout,Synth Watch X1
2031-04-02T08:07:00Z,120,128,123,workout,Synth Watch X1
2031-04-02T08:08:00Z,121,128,125,workout,Synth Watch X1
2031-04-02T08:09:00Z,120,127,123,workout,Synth Watch X1
2031-04-02T08:10:00Z,113,125,119,workout,Synth Watch X1
