Timestamp,Latitude,Longitude,Altitude (m),Vertical Accuracy (m),Horizontal Accuracy (m),Speed (m/s),Course (deg)
2031-04-02T07:30:00Z,-48.49988,-123.500494,44.4,3.3,4.5,7.76,290.1
2031-04-02T07:30:05Z,-48.499808,-123.500995,44.6,3.9,3.9,7.56,282.3
2031-04-02T07:30:10Z,-48.499702,-123.501449,44.8,2.1,4.1,7.1,289.4
2031-04-02T07:30:15Z,-48.499612,-123.501924,45.1,2.8,4.8,7.29,286
2031-04-02T07:30:20Z,-48.499496,-123.502351,45,2.5,4,6.81,292.2
2031-04-02T07:30:25Z,-48.499326,-123.502825,45.3,3.4,7.8,7.95,298.4
2031-04-02T07:30:30Z,-48.499162,-123.50332,45.7,2.4,4.8,8.17,296.6
2031-04-02T07:30:35Z,-48.499019,-123.50375,45.7,2.1,3.2,7.1,296.7
2031-04-02T07:30:40Z,-48.49884,-123.504206,46.2,4.1,3.4,7.8,300.5
2031-04-02T07:30:45Z,-48.498618,-123.504653,46.2,2.2,5.8,8.25,306.9
2031-04-02T07:30:50Z,-48.498382,-123.505023,46.4,3.5,3.9,7.57,314
2031-04-02T07:30:55Z,-48.498114,-123.505368,46.8,2.6,7.1,7.85,319.5
2031-04-02T07:31:00Z,-48.497886,-123.505665,47.1,3.9,7.1,6.7,319.2
2031-04-02T07:31:05Z,-48.497618,-123.505972,47.5,3.2,7.3,7.5,322.9
2031-04-02T07:31:10Z,-48.497402,-123.506293,47.7,4,3.1,6.74,315.4
2031-04-02T07:31:15Z,-48.497151,-123.506618,48.1,4.6,7.5,7.36,319.4
2031-04-02T07:31:20Z,-48.496908,-123.506916,48.9,3,5,6.98,320.9
2031-04-02T07:31:25Z,-48.49669,-123.507263,49.3,2.2,3.4,7.04,313.5
2031-04-02T07:31:30Z,-48.496477,-123.507694,50.3,4.8,3.4,7.94,306.7
2031-04-02T07:31:35Z,-48.496217,-123.50814,51,3.5,3.9,8.76,311.3
2031-04-02T07:31:40Z,-48.495978,-123.508536,52,3.2,5.3,7.91,312.4
2031-04-02T07:31:45Z,-48.495713,-123.508988,52.7,4.5,7.4,8.89,311.5
2031-04-02T07:31:50Z,-48.495531,-123.509409,53.8,3.3,6.6,7.42,303.1
2031-04-02T07:31:55Z,-48.495353,-123.509854,54.1,4.7,8,7.67,301.1
2031-04-02T07:32:00Z,-48.495155,-123.510333,54.8,4,5.1,8.33,302
2031-04-02T07:32:05Z,-48.494902,-123.510761,55.2,2.7,3,8.47,311.7
2031-04-02T07:32:10Z,-48.494617,-123.511155,56.2,4.4,7.6,8.6,317.5
2031-04-02T07:32:15Z,-48.494361,-123.511625,56.7,2.7,4.5,8.98,309.4
2031-04-02T07:32:20Z,-48.494167,-123.512046,57.4,4.7,4.2,7.57,304.9
2031-04-02T07:32:25Z,-48.493945,-123.512426,58.5,4.7,5.2,7.47,311.3
2031-04-02T07:32:30Z,-48.49372,-123.512822,59.4,3.6,7,7.7,310.7
2031-04-02T07:32:35Z,-48.493453,-123.513161,60.2,4.6,8,7.75,319.8
2031-04-02T07:32:40Z,-48.493117,-123.513461,60.8,3.1,4,8.7,329.4
2031-04-02T07:32:45Z,-48.492828,-123.513811,61.4,2.6,5.1,8.26,321.3
2031-04-02T07:32:50Z,-48.492534,-123.514222,62.7,4.4,7.1,8.92,317.2
2031-04-02T07:32:55Z,-48.492215,-123.514575,63.5,3.1,7.2,8.81,323.7
2031-04-02T07:33:00Z,-48.491941,-123.514913,64.2,3.1,3.7,7.87,320.7
2031-04-02T07:33:05Z,-48.491597,-123.515313,65,4.2,3.4,9.67,322.4
2031-04-02T07:33:10Z,-48.49131,-123.515646,65.9,3.2,3.5,8.06,322.4
2031-04-02T07:33:15Z,-48.491,-123.515943,66.6,4.7,3.1,8.19,327.7
2031-04-02T07:33:20Z,-48.490635,-123.516269,67.9,3.9,3.9,9.44,329.3
2031-04-02T07:33:25Z,-48.490267,-123.516527,69.3,4.5,4.5,9.04,335.1
2031-04-02T07:33:30Z,-48.4899,-123.516729,70,2.1,3.2,8.68,339.9
2031-04-02T07:33:35Z,-48.489503,-123.516957,70.8,2.6,3.4,9.47,339.1
2031-04-02T07:33:40Z,-48.489098,-123.517148,71.5,2.3,7,9.44,342.7
2031-04-02T07:33:45Z,-48.488677,-123.517329,72.7,3.8,5.9,9.75,344
2031-04-02T07:33:50Z,-48.488289,-123.517483,73.7,4.2,4.3,8.95,345.3
2031-04-02T07:33:55Z,-48.487882,-123.517568,75,2.4,5,9.15,352.1
2031-04-02T07:34:00Z,-48.487465,-123.517762,76,3.8,5.8,9.71,342.9
2031-04-02T07:34:05Z,-48.487053,-123.517973,77.1,4.3,3.8,9.69,341.3
2031-04-02T07:34:10Z,-48.486677,-123.518144,78,3.1,6,8.74,343.2
2031-04-02T07:34:15Z,-48.486279,-123.518273,79.3,3.9,3.7,9.07,348
2031-04-02T07:34:20Z,-48.485873,-123.518434,80.8,2.4,6.1,9.35,345.2
2031-04-02T07:34:25Z,-48.485446,-123.51855,81.7,3.8,4.2,9.65,349.8
2031-04-02T07:34:30Z,-48.485001,-123.518711,83.2,3.3,6.8,10.18,346.5
2031-04-02T07:34:35Z,-48.484568,-123.51895,84.6,2.1,4.1,10.27,339.9
2031-04-02T07:34:40Z,-48.484178,-123.519114,85.8,2.7,5.8,9.02,344.4
2031-04-02T07:34:45Z,-48.483798,-123.51925,86.9,2.6,5.6,8.68,346.7
2031-04-02T07:34:50Z,-48.483385,-123.519519,88.1,3.2,5.1,10.03,336.7
2031-04-02T07:34:55Z,-48.482972,-123.51971,89,3.6,5.8,9.61,342.9
